SNR_dB,BER,chrF_traditional,chrF_semantic,chrF_semantic_rep3,chrF_codec,bits_traditional,bits_semantic,bits_semantic_rep3,bits_codec,n
10,3.872e-06,0.5309,1.0000,1.0000,0.6254,1692058,700,2100,2309,25
5,5.954e-03,0.3280,0.6470,0.9755,0.4174,1692058,700,2100,2309,25
2,3.751e-02,0.2831,0.1233,0.6949,0.2858,1692058,700,2100,2309,25
0,7.865e-02,0.2003,0.0422,0.3665,0.1877,1692058,700,2100,2309,25
-2,1.306e-01,0.1696,0.0155,0.1636,0.1267,1692058,700,2100,2309,25
-5,2.132e-01,0.1401,0.0068,0.0304,0.1029,1692058,700,2100,2309,25
