SNR_dB,BER,chrF_traditional,chrF_semantic,chrF_semantic_rep3,chrF_codec,WER_traditional,WER_semantic,WER_semantic_rep3,WER_codec,bits_traditional,bits_semantic,bits_semantic_rep3,bits_codec,n
10,3.872e-06,0.2818,0.3449,0.3449,0.1734,0.7988,0.7497,0.7497,0.8603,1692058,700,2100,2309,25
5,5.954e-03,0.2199,0.2868,0.3423,0.1752,0.8664,0.7934,0.7552,0.9517,1692058,700,2100,2309,25
2,3.751e-02,0.1866,0.0982,0.2991,0.1299,0.9528,3.4196,0.8037,0.9319,1692058,700,2100,2309,25
0,7.865e-02,0.1641,0.0402,0.2106,0.1219,0.9068,4.2924,0.8886,0.9421,1692058,700,2100,2309,25
-2,1.306e-01,0.1492,0.0142,0.0977,0.0999,0.9199,7.0365,2.1689,0.9086,1692058,700,2100,2309,25
-5,2.132e-01,0.1174,0.0065,0.0266,0.0827,2.5591,1.3959,3.6020,1.4855,1692058,700,2100,2309,25
