SNR_dB,BER,chrF_traditional,chrF_semantic,chrF_semantic_rep3,chrF_codec,WER_traditional,WER_semantic,WER_semantic_rep3,WER_codec,bits_traditional,bits_semantic,bits_semantic_rep3,bits_codec,n
10,2.327e-02,0.2360,0.2912,0.3072,0.1658,0.8239,0.7813,0.7836,0.8703,1692058,700,2100,2309,25
5,6.418e-02,0.1369,0.1844,0.2270,0.1329,0.9119,1.3622,3.1976,1.5479,1692058,700,2100,2309,25
2,1.085e-01,0.0667,0.0910,0.1471,0.1040,0.9633,2.4990,1.2751,0.8995,1692058,700,2100,2309,25
0,1.464e-01,0.0522,0.0681,0.1408,0.0994,0.9773,2.1041,4.6395,0.9265,1692058,700,2100,2309,25
-2,1.890e-01,0.0378,0.0314,0.0815,0.0715,0.9824,1.1781,2.7155,0.9437,1692058,700,2100,2309,25
-5,2.549e-01,0.0171,0.0203,0.1056,0.0934,0.9844,3.0140,1.4045,1.7248,1692058,700,2100,2309,25
