SNR_dB,BER,chrF_traditional,chrF_semantic,chrF_semantic_rep3,chrF_codec,WER_traditional,WER_semantic,WER_semantic_rep3,WER_codec,bits_traditional,bits_semantic,bits_semantic_rep3,bits_codec,n
10,3.872e-06,0.4237,0.4325,0.4325,0.2482,0.6306,0.6189,0.6189,0.7763,1868268,712,2136,2524,25
5,5.954e-03,0.1898,0.3607,0.4294,0.2227,3.5263,0.7107,0.6202,0.8715,1868268,712,2136,2524,25
2,3.751e-02,0.1008,0.1162,0.3599,0.1715,1.0615,4.2537,0.7278,0.8695,1868268,712,2136,2524,25
0,7.865e-02,0.0487,0.0315,0.2219,0.1326,0.9279,8.5012,1.1032,0.9606,1868268,712,2136,2524,25
-2,1.306e-01,0.0092,0.0164,0.0983,0.0982,0.9969,4.0349,1.3780,0.9257,1868268,712,2136,2524,25
-5,2.132e-01,0.0077,0.0062,0.0200,0.0767,1.0000,2.4860,5.3607,0.9946,1868268,712,2136,2524,25
