SNR_dB,BER,chrF_traditional,chrF_semantic,chrF_semantic_rep3,chrF_codec,WER_traditional,WER_semantic,WER_semantic_rep3,WER_codec,bits_traditional,bits_semantic,bits_semantic_rep3,bits_codec,n
10,2.327e-02,0.6919,0.7968,0.9208,0.5334,0.3676,0.2251,0.0785,0.5256,1692058,700,2100,2309,25
5,6.418e-02,0.2824,0.5060,0.6882,0.3283,0.7772,0.9326,2.3539,0.8770,1692058,700,2100,2309,25
2,1.085e-01,0.0857,0.2270,0.4272,0.2005,0.9665,2.2277,1.0805,0.9232,1692058,700,2100,2309,25
0,1.464e-01,0.0557,0.0925,0.2680,0.1443,0.9805,2.2515,3.9002,0.9104,1692058,700,2100,2309,25
-2,1.890e-01,0.0373,0.0755,0.1951,0.0988,1.0125,1.1130,2.7106,0.8948,1692058,700,2100,2309,25
-5,2.549e-01,0.0187,0.0217,0.1447,0.1121,0.9858,3.1009,1.3635,0.9968,1692058,700,2100,2309,25
