SNR_dB,BER,chrF_traditional,chrF_semantic,chrF_semantic_rep3,chrF_codec,WER_traditional,WER_semantic,WER_semantic_rep3,WER_codec,bits_traditional,bits_semantic,bits_semantic_rep3,bits_codec,n
10,3.872e-06,0.3328,0.3449,0.3449,0.1862,0.7065,0.7497,0.7497,0.8733,1692058,700,2100,2309,25
5,5.954e-03,0.1419,0.2918,0.3452,0.1587,0.9443,0.7559,0.7482,0.8946,1692058,700,2100,2309,25
2,3.751e-02,0.1223,0.1129,0.2972,0.1401,0.9646,1.2344,0.7983,0.8916,1692058,700,2100,2309,25
0,7.865e-02,0.0471,0.0291,0.1968,0.1217,1.6696,2.8589,0.8900,1.2100,1692058,700,2100,2309,25
-2,1.306e-01,0.0092,0.0141,0.1143,0.0990,0.9855,2.2098,4.9791,0.9539,1692058,700,2100,2309,25
-5,2.132e-01,0.0083,0.0065,0.0194,0.0804,1.0000,2.7001,5.3156,0.9456,1692058,700,2100,2309,25
