SNR_dB,BER,chrF_traditional,chrF_semantic,chrF_semantic_rep3,chrF_codec,WER_traditional,WER_semantic,WER_semantic_rep3,WER_codec,bits_traditional,bits_semantic,bits_semantic_rep3,bits_codec,n
10,3.872e-06,0.9485,1.0000,1.0000,0.5726,0.0444,0.0000,0.0000,0.5353,1692058,700,2100,2309,25
5,5.954e-03,0.1788,0.6068,0.9958,0.3813,0.9684,0.3792,0.0013,0.7120,1692058,700,2100,2309,25
2,3.751e-02,0.1329,0.1428,0.7425,0.2750,1.0096,1.0823,0.3103,0.8881,1692058,700,2100,2309,25
0,7.865e-02,0.0461,0.0257,0.3135,0.1617,1.7691,2.6209,0.7497,0.9249,1692058,700,2100,2309,25
-2,1.306e-01,0.0111,0.0173,0.1501,0.1187,0.9920,1.7507,4.5748,0.9774,1692058,700,2100,2309,25
-5,2.132e-01,0.0078,0.0071,0.0232,0.1003,1.0000,2.5979,6.0316,1.0111,1692058,700,2100,2309,25
